project_code,major_name,plan_end_time,state,stage,area,project_tag,region_tag,headquarter_tag,profession_tag,sum of danger_number,count of risk_level=1,count of risk_level=2,count of risk_level=3
HRZD-CZGY-01,消防专业,2020/10/29 0:00,1,施工阶段,公共区域,有巢公寓北京亦庄文化园店,华北大区,华润置地,长租公寓,17,3,14,0
HRZD-CZGY-01,消防专业,2020/10/29 0:00,1,施工阶段,租户区域,有巢公寓北京亦庄文化园店,华北大区,华润置地,长租公寓,6,1,5,0
HRZD-CZGY-01,消防专业,2020/10/29 0:00,1,运营阶段,公共区域,有巢公寓北京亦庄文化园店,华北大区,华润置地,长租公寓,14,3,10,1
HRZD-CZGY-01,消防专业,2020/10/29 0:00,1,运营阶段,租户区域,有巢公寓北京亦庄文化园店,华北大区,华润置地,长租公寓,5,0,5,0
HRZD-CZGY-01,电梯专业,2020/10/29 0:00,1,运营阶段,井道,有巢公寓北京亦庄文化园店,华北大区,华润置地,长租公寓,14,0,13,1
HRZD-CZGY-01,电梯专业,2020/10/29 0:00,1,运营阶段,机房,有巢公寓北京亦庄文化园店,华北大区,华润置地,长租公寓,6,2,3,1
HRZD-CZGY-01,电梯专业,2020/10/29 0:00,1,运营阶段,资料,有巢公寓北京亦庄文化园店,华北大区,华润置地,长租公寓,2,2,0,0
HRZD-CZGY-01,电梯专业,2020/10/29 0:00,1,运营阶段,轿厢与对重,有巢公寓北京亦庄文化园店,华北大区,华润置地,长租公寓,5,2,3,0
HRZD-CZGY-02,消防专业,2020/11/2 0:00,1,运营阶段,公共区域,有巢公寓大连考拉住区店,华北大区,华润置地,长租公寓,16,2,14,0
HRZD-CZGY-02,电梯专业,2020/11/2 0:00,1,运营阶段,井道,有巢公寓大连考拉住区店,华北大区,华润置地,长租公寓,6,1,5,0
HRZD-CZGY-02,电梯专业,2020/11/2 0:00,1,运营阶段,机房,有巢公寓大连考拉住区店,华北大区,华润置地,长租公寓,12,3,8,1
HRZD-CZGY-02,电梯专业,2020/11/2 0:00,1,运营阶段,轿厢与对重,有巢公寓大连考拉住区店,华北大区,华润置地,长租公寓,3,0,2,1
HRZD-CZGY-02,电梯专业,2020/11/2 0:00,1,运营阶段,轿门与层门,有巢公寓大连考拉住区店,华北大区,华润置地,长租公寓,2,0,2,0
HRZD-CZGY-03,消防专业,2020/11/4 0:00,1,施工阶段,公共区域,有巢公馆上海三林店,华东大区,华润置地,长租公寓,3,1,2,0
HRZD-CZGY-03,消防专业,2020/11/4 0:00,1,运营阶段,公共区域,有巢公馆上海三林店,华东大区,华润置地,长租公寓,23,6,14,3
HRZD-CZGY-03,电梯专业,2020/11/4 0:00,1,运营阶段,井道,有巢公馆上海三林店,华东大区,华润置地,长租公寓,7,2,5,0
HRZD-CZGY-03,电梯专业,2020/11/4 0:00,1,运营阶段,机房,有巢公馆上海三林店,华东大区,华润置地,长租公寓,8,6,1,1
HRZD-CZGY-03,电梯专业,2020/11/4 0:00,1,运营阶段,轿厢与对重,有巢公馆上海三林店,华东大区,华润置地,长租公寓,5,1,3,1
HRZD-CZGY-03,电梯专业,2020/11/4 0:00,1,运营阶段,轿门与层门,有巢公馆上海三林店,华东大区,华润置地,长租公寓,5,1,2,2
HRZD-CZGY-04,消防专业,2020/11/5 0:00,1,施工阶段,公共区域,有巢公寓余姚五彩城店,华东大区,华润置地,长租公寓,4,2,2,0
HRZD-CZGY-04,消防专业,2020/11/5 0:00,1,运营阶段,公共区域,有巢公寓余姚五彩城店,华东大区,华润置地,长租公寓,19,3,15,1
