headquarter_tag,major_name,profession_tag,area,region_tag,plan_end_time,project_tag,project_code,breakdown,breakdown_value,measure,measure value,sig,impact,insight,insight_type,score
华润置地,*,写字楼,*,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.55097871021967,0.06724067240672407,trend,shape,0.037048178956960186
*,*,写字楼,*,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.55097871021967,0.06724067240672407,trend,shape,0.037048178956960186
*,*,住宅,*,华南大区,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.8529712283297377,0.04469044690446904,trend,shape,0.038119665390709885
华润置地,*,住宅,*,华南大区,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.8529712283297377,0.04469044690446904,trend,shape,0.038119665390709885
*,消防专业,综合体,租户区域,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.6926250476554932,0.08938089380893809,trend,shape,0.06190744583390632
*,电梯专业,*,*,华东大区,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.8047939416477907,0.06109061090610906,trend,shape,0.04916535354879902
华润置地,电梯专业,*,*,华东大区,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.8047939416477907,0.06109061090610906,trend,shape,0.04916535354879902
华润置地,*,住宅,*,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.33557341469114765,0.13038130381303814,trend,shape,0.04375249933242516
*,*,住宅,*,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.33557341469114765,0.13038130381303814,trend,shape,0.04375249933242516
华润置地,*,*,*,华南大区,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.3480281528223056,0.18245182451824518,trend,shape,0.06349837146614432
*,消防专业,综合体,公共区域,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.5553565162953488,0.12341123411234112,trend,shape,0.06853723304833947
华润置地,消防专业,综合体,公共区域,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.5553565162953488,0.12341123411234112,trend,shape,0.06853723304833947
华润置地,电气专业,综合体,公共区域,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.7575645461865345,0.06642066420664207,trend,shape,0.05031794033711299
华润置地,消防专业,*,租户区域,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.7204953158637861,0.0959409594095941,trend,shape,0.06912501185409019
*,电气专业,*,公共区域,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.4306923410942184,0.12915129151291513,trend,shape,0.055624472097039274
华润置地,电梯专业,*,*,华北大区,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.6164931108377989,0.12997129971299712,trend,shape,0.08012641087969752
*,电气专业,综合体,公共区域,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.7575645461865345,0.06642066420664207,trend,shape,0.05031794033711299
*,电气专业,综合体,*,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.7312738033795604,0.11562115621156212,trend,shape,0.08455072265397132
华润置地,消防专业,综合体,租户区域,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.6926250476554932,0.08938089380893809,trend,shape,0.06190744583390632
*,消防专业,*,租户区域,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.701547626994719,0.1000410004100041,trend,shape,0.07018352643981608
华润置地,消防专业,综合体,*,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.6153319047525246,0.21279212792127922,trend,shape,0.1309377853901436
*,电梯专业,*,*,华北大区,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.6164931108377989,0.12997129971299712,trend,shape,0.08012641087969752
*,消防专业,*,公共区域,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.4828381210324868,0.21689216892168922,trend,shape,0.10472380730880915
*,*,综合体,租户区域,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.6241818078816401,0.1820418204182042,trend,shape,0.11362719257869956
*,电梯专业,综合体,*,华北大区,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.9090419664344455,0.08897088970889709,trend,shape,0.08087827253639798
华润置地,电气专业,*,公共区域,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.4494234208792245,0.12013120131201312,trend,shape,0.053989775447975716
华润置地,电气专业,*,*,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.47423984308321443,0.17507175071750716,trend,shape,0.08302599958857423
华润置地,*,综合体,公共区域,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.5456330965655412,0.24764247642476425,trend,shape,0.13512193125280314
*,电梯专业,综合体,*,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.6391627946677751,0.25174251742517423,trend,shape,0.16090445097417544
*,*,综合体,*,*,*,*,*,plan_end_time,-1,sum of danger_number,-1,0.6498029942022565,0.6773267732677327,trend,shape,0.4401289653227256
